"Step","lively-brook-27 - train/rmse_param_sig","lively-brook-27 - train/rmse_param_sig__MIN","lively-brook-27 - train/rmse_param_sig__MAX","glamorous-snowflake-26 - train/rmse_param_sig","glamorous-snowflake-26 - train/rmse_param_sig__MIN","glamorous-snowflake-26 - train/rmse_param_sig__MAX","dark-moon-25 - train/rmse_param_sig","dark-moon-25 - train/rmse_param_sig__MIN","dark-moon-25 - train/rmse_param_sig__MAX","legendary-sponge-24 - train/rmse_param_sig","legendary-sponge-24 - train/rmse_param_sig__MIN","legendary-sponge-24 - train/rmse_param_sig__MAX"
"81","52.6461067199707","52.6461067199707","52.6461067199707","65.97233581542969","65.97233581542969","65.97233581542969","65.73948669433594","65.73948669433594","65.73948669433594","66.0522232055664","66.0522232055664","66.0522232055664"
"82","52.69451904296875","52.69451904296875","52.69451904296875","66.15677642822266","66.15677642822266","66.15677642822266","65.9207763671875","65.9207763671875","65.9207763671875","66.25149536132812","66.25149536132812","66.25149536132812"
"83","52.7472038269043","52.7472038269043","52.7472038269043","66.34122467041016","66.34122467041016","66.34122467041016","66.10270690917969","66.10270690917969","66.10270690917969","66.45038604736328","66.45038604736328","66.45038604736328"
"84","52.787227630615234","52.787227630615234","52.787227630615234","66.52394104003906","66.52394104003906","66.52394104003906","66.2835464477539","66.2835464477539","66.2835464477539","66.6482162475586","66.6482162475586","66.6482162475586"
"85","52.817909240722656","52.817909240722656","52.817909240722656","66.705322265625","66.705322265625","66.705322265625","66.46317291259766","66.46317291259766","66.46317291259766","66.84660339355469","66.84660339355469","66.84660339355469"
"86","52.865447998046875","52.865447998046875","52.865447998046875","66.88675689697266","66.88675689697266","66.88675689697266","66.63987731933594","66.63987731933594","66.63987731933594","67.04428100585938","67.04428100585938","67.04428100585938"
"87","52.91370391845703","52.91370391845703","52.91370391845703","67.0687255859375","67.0687255859375","67.0687255859375","66.81449127197266","66.81449127197266","66.81449127197266","67.24108123779297","67.24108123779297","67.24108123779297"
"88","52.98352813720703","52.98352813720703","52.98352813720703","67.25140380859375","67.25140380859375","67.25140380859375","66.98818969726562","66.98818969726562","66.98818969726562","67.43807220458984","67.43807220458984","67.43807220458984"
"89","53.048709869384766","53.048709869384766","53.048709869384766","67.43392944335938","67.43392944335938","67.43392944335938","67.16395568847656","67.16395568847656","67.16395568847656","67.63569641113281","67.63569641113281","67.63569641113281"
"90","53.0931282043457","53.0931282043457","53.0931282043457","67.61477661132812","67.61477661132812","67.61477661132812","67.33814239501953","67.33814239501953","67.33814239501953","67.83303833007812","67.83303833007812","67.83303833007812"
"91","53.14897155761719","53.14897155761719","53.14897155761719","67.79449462890625","67.79449462890625","67.79449462890625","67.51080322265625","67.51080322265625","67.51080322265625","68.02965545654297","68.02965545654297","68.02965545654297"
"92","53.20905303955078","53.20905303955078","53.20905303955078","67.97395324707031","67.97395324707031","67.97395324707031","67.68353271484375","67.68353271484375","67.68353271484375","68.22674560546875","68.22674560546875","68.22674560546875"
"93","53.24663162231445","53.24663162231445","53.24663162231445","68.14961242675781","68.14961242675781","68.14961242675781","67.85629272460938","67.85629272460938","67.85629272460938","68.42254638671875","68.42254638671875","68.42254638671875"
"94","53.292633056640625","53.292633056640625","53.292633056640625","68.32388305664062","68.32388305664062","68.32388305664062","68.02769470214844","68.02769470214844","68.02769470214844","68.61831665039062","68.61831665039062","68.61831665039062"
"95","53.315406799316406","53.315406799316406","53.315406799316406","68.49817657470703","68.49817657470703","68.49817657470703","68.197998046875","68.197998046875","68.197998046875","68.81351470947266","68.81351470947266","68.81351470947266"
"96","53.341670989990234","53.341670989990234","53.341670989990234","68.67394256591797","68.67394256591797","68.67394256591797","68.37014770507812","68.37014770507812","68.37014770507812","69.00938415527344","69.00938415527344","69.00938415527344"
"97","53.367576599121094","53.367576599121094","53.367576599121094","68.84928131103516","68.84928131103516","68.84928131103516","68.54058074951172","68.54058074951172","68.54058074951172","69.2050552368164","69.2050552368164","69.2050552368164"
"98","53.412784576416016","53.412784576416016","53.412784576416016","69.02259063720703","69.02259063720703","69.02259063720703","68.7118911743164","68.7118911743164","68.7118911743164","69.39995574951172","69.39995574951172","69.39995574951172"
"99","53.4369010925293","53.4369010925293","53.4369010925293","69.19601440429688","69.19601440429688","69.19601440429688","68.8818130493164","68.8818130493164","68.8818130493164","69.594482421875","69.594482421875","69.594482421875"
